Phage Name,Zipcode,Population Density,County,pH,Waterquality,GHI,Dew Point,Albedo,Latitude,Longitude,AQI,PM25,PM10,CO_8H,NO2_1H,SO3_1H
Fireman,10048,,New York County,7.803748939438834,,167.6159817351598,7.0296803652968025,0.14857534246576318,40.7115,-74.0127,35.0,8.4,37.0,3.0,37.0,24.0
FiringLine,40351,82.0,Rowan County,,,176.86689497716895,7.534931506849315,0.1489041095890283,38.18,-83.44,47.0,11.2,50.0,4.1,49.0,32.0
FirstPlacePfu,19352,553.0,Chester County,7.8037479225201585,Not applicable,179.3029680365297,7.4219178082191775,0.2197260273972864,39.805953,-75.926614,42.0,10.0,45.0,3.6,44.0,29.0
Fishburne,29403,3897.0,Charleston County,7.803636617284001,Not determined,200.29417808219185,15.232876712328768,0.10953424657535216,32.792778000000006,-79.95277800000001,44.0,10.5,47.0,3.8,46.0,30.0
Fizzles,,,,,,214.730593607306,10.017305936073068,0.16931506849316924,32.2197,-98.1989,40.0,9.6,43.0,3.5,42.0,28.0
Flabslab,15213,14474.0,Allegheny County,7.803784140345621,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.444359000000006,-79.947509,35.0,8.4,37.0,3.0,37.0,24.0
FlagStaff,15207,2350.0,Allegheny County,7.80365562784209,"Stable, normal stage",164.67328767123288,6.330821917808219,0.20745205479450896,40.399,-79.946,35.0,8.4,37.0,3.0,37.0,24.0
Flakey,54986,168.0,Winnebago County,7.80379536848088,,162.56792237442926,2.9303652968036533,0.3121917808219081,44.118564,-88.722831,24.0,5.7,25.0,2.1,25.0,16.0
Flare16,42101,197.0,Warren County,,,181.31529680365296,9.667157534246572,0.16150684931508502,36.9842,-86.4549,44.0,10.5,47.0,3.8,46.0,30.0
Flathead,,,Sanders County,7.803794236810642,,158.11061643835615,-1.1559360730593606,0.4662191780821649,47.84725,-114.78157,27.0,6.4,29.0,2.3,28.0,18.0
Flaverint,06515,3759.0,New Haven County,7.803787559326049,"Stable, normal stage",171.77636986301368,6.426255707762557,0.1953424657534197,41.3352,-72.9414,53.0,13.0,59.0,4.7,55.0,37.0
Floof,15213,14474.0,Allegheny County,7.743324310939867,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.446506,-79.954011,35.0,8.4,37.0,3.0,37.0,24.0
Florean,24060-3348,,Montgomery County,7.8036513347468555,,179.90068493150685,6.629394977168947,0.17419178082193765,37.246087,-80.425191,46.0,11.0,49.0,4.0,48.0,32.0
FlowerPower,21228,3070.0,Baltimore County,7.8036513347468555,,180.49235159817349,7.419178082191781,0.17175342465754556,39.256894,-76.714128,34.0,8.1,36.0,2.9,36.0,23.0
Fludd,20910,8221.0,Montgomery County,7.804395395298219,,181.77191780821917,7.8521689497716896,0.15408219178079702,38.988889,-77.021111,47.0,11.2,50.0,4.1,49.0,32.0
FluffyNinja,15219,7277.0,Allegheny County,7.804325599875178,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.447259,-79.959709,35.0,8.4,37.0,3.0,37.0,24.0
Fluke,15213,14474.0,Allegheny County,7.80424378327668,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.4475,-79.953056,35.0,8.4,37.0,3.0,37.0,24.0
Flux,18059,768.0,Lehigh County,7.804200431816317,"Stable, normal stage",172.4348173515982,5.99634703196347,0.2297260273972819,40.724944,-75.53835,38.0,9.1,41.0,3.3,40.0,26.0
