Phage Name,Zipcode,Population Density,County,pH,Waterquality,GHI,Dew Point,Albedo,Latitude,Longitude,AQI,PM25,PM10,CO_8H,NO2_1H,SO3_1H
MarkPhew,99258,,Spokane County,7.803069405962692,"Stable, high stage",160.9194063926941,1.7452054794520548,0.29493150684927943,47.666537,-117.40303200000001,13.0,3.1,14.0,1.1,13.0,9.0
Marley1013,18403,298.0,Lackawanna County,7.803032790651227,"Stable, normal stage",160.34531963470317,4.445776255707763,0.3161917808219329,41.4925,-75.57388900000001,33.0,7.9,35.0,2.9,34.0,23.0
Maroc7,84003,733.0,Utah County,7.803450310393405,,197.9147260273972,-0.4149543378995434,0.3041095890411106,40.393811,-111.79343600000001,50.0,12.0,54.0,4.4,53.0,35.0
Marshawn,99258,,Spokane County,7.803218851354885,"Stable, high stage",160.9194063926941,1.7452054794520548,0.29493150684927943,47.66633,-117.40464899999999,12.0,2.8,12.0,1.0,12.0,8.0
Marteena,27411,,Guilford County,7.803133271776142,,188.952397260274,8.9513698630137,0.1366301369862883,36.0781,-79.7711,46.0,11.0,49.0,4.0,48.0,32.0
Martha,15213,14474.0,Allegheny County,7.803084283694955,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.4475,-79.955556,38.0,9.1,41.0,3.3,40.0,26.0
Martin,18640,605.0,Luzerne County,7.803023665403982,"Stable, normal stage",163.83356164383562,4.7822146118721465,0.2572602739726091,41.317778000000004,-75.79,34.0,8.1,36.0,2.9,36.0,23.0
Maru,,,,,,176.72899543378998,6.1025114155251154,0.22641095890414384,40.424338,-86.906645,8.0,1.9,8.0,0.7,8.0,5.0
Marvin,19425,517.0,Chester County,7.802959609934305,Rising stage,173.4148401826484,7.155936073059357,0.19717808219180208,40.087694,-75.62230799999999,42.0,10.0,45.0,3.6,44.0,29.0
MaryBeth,63105,6647.0,Saint Louis County,7.802976586978207,"Stable, normal stage",181.73047945205482,7.855136986301369,0.16241095890411614,38.649,-90.307,45.0,10.8,48.0,3.9,47.0,31.0
MaryV,15213,14474.0,Allegheny County,7.732417696783581,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.446788,-79.95381400000001,38.0,9.1,41.0,3.3,40.0,26.0
MarysWell,78748,3207.0,Travis County,7.803039308125281,Not applicable,207.322602739726,12.680936073059359,0.14186301369863946,30.162221999999996,-97.808611,25.0,6.0,27.0,2.2,26.0,17.0
Mashley,53140,3473.0,Kenosha County,7.80318750547455,"Stable, normal stage",166.74212328767123,4.8859589041095886,0.2167945205478883,42.6223,-87.8205,32.0,7.6,34.0,2.8,33.0,22.0
Massimo,17011,2657.0,,7.803224219774523,Falling stage,171.1609589041096,6.5728310502283085,0.1816164383561485,40.261027,-76.940336,45.0,10.8,48.0,3.9,47.0,31.0
MasterPo,,,,,,199.6557077625571,11.948515981735161,0.13501369863011378,32.4625,-94.7261,31.0,7.4,33.0,2.7,32.0,21.0
Matalotodo,43403,24371.0,Wood County,7.803134333933901,Falling stage,169.36986301369862,5.388698630136986,0.2720000000000412,41.3773,-83.6408,30.0,7.2,32.0,2.6,31.0,21.0
Mattes,10913,1340.0,Rockland County,7.802783141128509,,169.68162100456618,6.5220319634703205,0.21528767123286696,41.0516,-73.9551,11.0,2.6,11.0,0.9,11.0,7.0
Matzah,15260,,Allegheny County,7.802750570640362,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.444241,-79.952827,38.0,9.1,41.0,3.3,40.0,26.0
Maureen,15260,,Allegheny County,7.802723352130062,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.4418,-79.9503,38.0,9.1,41.0,3.3,40.0,26.0
Maxo,23185,828.0,,7.802375875643119,,185.2694063926941,9.6925799086758,0.13789041095888524,37.2696,-76.71454,56.0,14.4,65.0,5.0,58.0,39.0
Maxxinista,,,Saint Louis County,7.801987457989867,"Stable, normal stage",160.18732876712332,0.7568493150684932,0.4077260273972236,47.0,-92.0,17.0,4.0,18.0,1.4,18.0,11.0
Maya,77705,171.0,Jefferson County,7.801669834821628,,201.50993150684934,16.154566210045658,0.15860273972603767,30.05537,-94.10345,21.0,5.0,22.0,1.8,22.0,14.0
Mayweather,29526,212.0,Horry County,7.801041151455367,,195.71278538812786,13.340182648401829,0.13843835616437106,33.903299,-79.062125,17.0,4.0,18.0,1.4,18.0,11.0
Mazhar510,27263,549.0,Randolph County,7.801026047802595,,191.5690639269406,9.038356164383561,0.14720547945205226,35.90231,-79.957535,46.0,11.0,49.0,4.0,48.0,32.0
Mazun,,,,,,171.77636986301368,6.426255707762557,0.1953424657534197,41.333056,-72.944722,42.0,10.0,45.0,3.6,44.0,29.0
McFly,23943,844.0,Prince Edward County,7.800904887492876,Peak stage,186.42785388127854,8.925342465753424,0.14276712328764646,37.240169,-78.460983,49.0,11.7,52.0,4.3,51.0,34.0
McGalleon,75126,432.0,Kaufman County,7.804055245608781,"Stable, normal stage",203.87636986301368,11.228196347031963,0.165315068493164,32.6916,-96.4546,33.0,7.9,35.0,2.9,34.0,23.0
McGuire,06515,3759.0,New Haven County,7.803192385030768,"Stable, high stage",171.77636986301368,6.426255707762557,0.1953424657534197,41.334444,-72.942778,42.0,10.0,45.0,3.6,44.0,29.0
McKinley,04992,1725.0,Franklin County,,,160.95582191780818,2.773744292237444,0.4035616438355933,44.664833,-70.147389,21.0,5.0,22.0,1.8,22.0,14.0
McShie,61462,74.0,Warren County,7.8030582537406845,,175.4324200913242,5.465296803652967,0.29624657534249044,40.91382,-90.639702,27.0,6.4,29.0,2.3,28.0,18.0
McWolfish,43210,6102.0,Franklin County,7.78295904835968,"Stable, normal stage",171.3874429223744,6.369520547945205,0.2559452054794956,39.999508,-83.012663,14.0,3.3,15.0,1.2,14.0,9.0
Mcklovin,15213,14474.0,Allegheny County,7.803165380521707,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.446812,-79.954169,38.0,9.1,41.0,3.3,40.0,26.0
Mcshane,19066,4297.0,Philadelphia County,7.803058717457062,Not applicable,175.20856164383565,7.49200913242009,0.16854794520545618,39.993333,-75.23944399999999,66.0,19.2,85.0,6.0,68.0,47.0
Mecca,20009,36495.0,Washington,7.8030345187398655,,183.91632420091324,7.457762557077626,0.1584657534246516,38.920556,-77.017778,45.0,10.8,48.0,3.9,47.0,31.0
MediumFry,45690,100.0,Pike County,,,173.19383561643838,7.442933789954338,0.19906849315070926,39.12265,-83.007144,47.0,11.2,50.0,4.1,49.0,32.0
Medusa,71203,312.0,Ouachita Parish,7.803043260290715,"Stable, normal stage",199.7521689497717,13.092237442922375,0.1542739726027456,32.641096000000005,-92.04177800000001,22.0,5.2,23.0,1.9,23.0,15.0
MeeZee,11429,19296.0,Queens County,7.802775488232359,,173.1803652968036,8.052968036529679,0.14572602739723745,40.706579,-73.731325,30.0,7.2,32.0,2.6,31.0,21.0
Megabear,01257,59.0,Berkshire County,7.802774209675037,"Stable, normal stage",165.7359589041096,4.55060502283105,0.30323287671233035,42.117,-73.416,43.0,10.3,46.0,3.7,45.0,30.0
Megamind,47714,4272.0,Vanderburgh County,7.802770681665827,"Stable, high stage",182.0521689497717,8.645205479452057,0.17969863013699988,37.973,-87.535,22.0,5.2,23.0,1.9,23.0,15.0
Megan,15219,7277.0,Allegheny County,7.802738721052887,"Stable, normal stage",166.06221461187215,6.1813470319634725,0.20728767123284966,40.448083000000004,-79.962889,38.0,9.1,41.0,3.3,40.0,26.0
MeganTheeKilla,,,,,,202.63858447488582,16.148630136986302,0.16219178082193306,29.666,-95.73100000000001,30.0,7.2,32.0,2.6,31.0,21.0
Megatron,06515,3759.0,New Haven County,7.803221318546317,Not applicable,171.77636986301368,6.426255707762557,0.1953424657534197,41.33475,-72.94426999999999,42.0,10.0,45.0,3.6,44.0,29.0
Megiddo,75602,475.0,Gregg County,7.803097856424012,,199.6557077625571,11.948515981735161,0.13501369863011378,32.4624,-94.7262,31.0,7.4,33.0,2.7,32.0,21.0
Meibysrarus,76203,,Denton County,7.804097378649077,"Stable, normal stage",208.52066210045663,10.775228310502284,0.16802739726028745,33.21236,-97.14625500000001,42.0,10.0,45.0,3.6,44.0,29.0
Melba,15213,14474.0,Allegheny County,7.804075886459866,"Stable, normal stage",,,,,,,,,,,
Mellie,15260,,Allegheny County,7.804071743663902,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.444188,-79.953992,38.0,9.1,41.0,3.3,40.0,26.0
Melons,15213,14474.0,Allegheny County,7.804044969451718,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.446690999999994,-79.954196,38.0,9.1,41.0,3.3,40.0,26.0
Melpomini,21211,6225.0,,7.804044969451718,,177.81438356164384,7.5454337899543376,0.1645479452054667,39.328399,-76.618048,34.0,8.1,36.0,2.9,36.0,23.0
Melvin,17325,215.0,Adams County,7.803998283583714,"Stable, normal stage",171.3845890410959,6.428196347031964,0.21909589041099947,39.835316,-77.235388,44.0,10.5,47.0,3.8,46.0,30.0
MementoMori,68147,2050.0,Sarpy County,7.804249909462273,Not applicable,179.64303652968036,4.472716894977169,0.2872602739726354,41.187567,-95.972347,17.0,4.0,18.0,1.4,18.0,11.0
Mendel,14086,940.0,Erie County,7.7815998378040145,Falling stage,155.4804794520548,4.9589041095890405,0.3080273972603217,42.933820000000004,-78.64562,19.0,4.5,20.0,1.6,20.0,13.0
Mendokysei,95064,3908.0,Santa Cruz County,7.804269602989418,"Stable, normal stage",215.05068493150685,8.325,0.1006027397260431,36.9988,-122.05248300000001,30.0,7.2,32.0,2.6,31.0,21.0
Mercedes,29731,,York County,7.804089895266376,,201.33995433789954,10.174429223744294,0.14706849315068365,34.938978000000006,-81.033121,53.0,13.0,59.0,4.7,55.0,37.0
Mesh1,53022,678.0,Washington County,7.804630016807238,,167.13538812785387,3.834063926940647,0.3317534246575141,43.234248,-88.16589,24.0,5.7,25.0,2.1,25.0,16.0
MetalQZJ,63105,6647.0,Saint Louis County,7.80464624856427,"Stable, normal stage",181.73047945205482,7.855136986301369,0.16241095890411614,38.649136,-90.30755699999999,45.0,10.8,48.0,3.9,47.0,31.0
Metamorphoo,68135,3230.0,Douglas County,7.805244353144424,Not applicable,180.87933789954337,4.452511415525113,0.27635616438358873,41.195397,-96.162099,29.0,6.9,31.0,2.5,30.0,20.0
Methuselah,21228,3070.0,Baltimore County,7.805298521146603,Not applicable,180.49235159817349,7.419178082191781,0.17175342465754556,39.255466,-76.712533,34.0,8.1,36.0,2.9,36.0,23.0
MiaZeal,10040,111184.0,New York County,7.747151293236276,,172.4615296803653,6.90109589041096,0.1179726027397542,40.857999,-73.93562,15.0,3.6,16.0,1.3,15.0,10.0
Miaurora,73083,,Oklahoma County,7.805352495010013,"Stable, normal stage",203.51529680365292,8.183333333333334,0.1680821917808305,35.658611,-97.473611,63.0,17.8,79.0,5.7,65.0,45.0
MichaelPhcott,19104,17232.0,Philadelphia County,7.8049867975933855,Not applicable,174.19646118721462,7.453995433789954,0.14523287671230675,39.9532,-75.1919,66.0,19.2,85.0,6.0,68.0,47.0
MichaelScott,15213-4026,,Allegheny County,7.804960303425497,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.441944,-79.9575,38.0,9.1,41.0,3.3,40.0,26.0
Michelle,15213,14474.0,Allegheny County,7.8049338209529955,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.448132,-79.95418199999999,38.0,9.1,41.0,3.3,40.0,26.0
MichelleMyBell,10960,3599.0,Rockland County,7.805181139379983,,168.32260273972602,6.337157534246575,0.2069863013698425,41.088333,-73.931944,11.0,2.6,11.0,0.9,11.0,7.0
Michley,04992,1725.0,Franklin County,,,160.95582191780818,2.773744292237444,0.4035616438355933,44.66637,-70.1475,21.0,5.0,22.0,1.8,22.0,14.0
Microwolf,27695,,Wake County,7.8040924725789855,Not applicable,192.6365296803653,10.211415525114155,0.14268493150683312,35.781203000000005,-78.67485,46.0,11.0,49.0,4.0,48.0,32.0
Midas2,77201,,Harris County,7.747987542140128,Not determined,,,,,,,,,,,
MikeLiesIn,43216,,Franklin County,7.803974096952375,"Stable, normal stage",169.2810502283105,6.4633219178082175,0.2276712328767472,39.961176,-82.99879399999999,14.0,3.3,15.0,1.2,14.0,9.0
Miko,99258,,Spokane County,,,160.9194063926941,1.7452054794520548,0.29493150684927943,47.666456,-117.40491399999999,12.0,2.8,12.0,1.0,12.0,8.0
Mikota,90024-2704,,Los Angeles County,7.756254867038096,Not applicable,226.7365296803653,8.049885844748859,0.13852054794521435,34.06,-118.45,42.0,10.0,45.0,3.6,44.0,29.0
MilanaBonita,,,,,,172.49668949771691,7.687191780821915,0.2018082191781087,40.86299,-73.10535,57.0,14.9,67.0,5.1,59.0,40.0
Mildred21,63105,6647.0,Saint Louis County,7.803862826251843,Peak stage,181.73047945205482,7.855136986301369,0.16241095890411614,38.646539000000004,-90.30309100000001,45.0,10.8,48.0,3.9,47.0,31.0
Miley16,04992,1725.0,Franklin County,,,160.95582191780818,2.773744292237444,0.4035616438355933,44.665290500000005,-70.1466901,21.0,5.0,22.0,1.8,22.0,14.0
MilleniumForce,47907,,Tippecanoe County,7.803919945976053,,173.16632420091324,6.472374429223744,0.2340821917808549,40.426,-86.93299999999999,8.0,1.9,8.0,0.7,8.0,5.0
Millski,01060,1400.0,Hampshire County,7.743286290643503,,164.99885844748854,4.5856164383561655,0.2681643835616319,42.3181,-72.637202,42.0,10.0,45.0,3.6,44.0,29.0
Milly,33106,,Baldwin County,7.803838342349801,,198.54326484018262,11.58755707762557,0.11295890410959615,33.119425,-83.18504200000001,40.0,9.6,43.0,3.5,42.0,28.0
MillyPhilly,19151,12494.0,Philadelphia County,7.803716689294336,Not applicable,174.19646118721462,7.453995433789954,0.14523287671230675,39.9598,-75.1904,66.0,19.2,85.0,6.0,68.0,47.0
Mimi,15262,,Allegheny County,7.815116019141449,"Stable, normal stage",166.06221461187215,6.1813470319634725,0.20728767123284966,40.4406,-79.9959,38.0,9.1,41.0,3.3,40.0,26.0
MindFlayer,,,,,,177.37682648401832,7.698744292237443,0.21569863013702725,39.129923,-77.411686,47.0,11.2,50.0,4.1,49.0,32.0
Mindy,15260,,Allegheny County,7.803402889104321,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.444722,-79.95277800000001,38.0,9.1,41.0,3.3,40.0,26.0
MinecraftSteve,27513-4997,,Wake County,7.803103310372852,Not applicable,187.62922374429226,10.552625570776256,0.14452054794517874,35.821944,-78.786389,55.0,14.0,63.0,4.9,57.0,39.0
Minima,06437,475.0,New Haven County,7.803053534503282,"Stable, low stage",171.13812785388131,6.437785388127854,0.20654794520549824,41.3172,-72.7209,42.0,10.0,45.0,3.6,44.0,29.0
MinionDave,35776,38.0,Marshall County,7.803129341954906,"Stable, normal stage",193.12625570776257,10.391780821917807,0.1426849315068364,34.573397,-86.221491,66.0,19.2,85.0,6.0,68.0,47.0
Miniwave,,,,,,166.35673515981736,6.108219178082192,0.2240821917807793,41.2295,-73.9871,11.0,2.6,11.0,0.9,11.0,7.0
Minnie,49423,580.0,Ottawa County,7.803156293192734,Falling stage,,,,,,,,,,,
MintFen,11367,17252.0,Queens County,7.7905893582942225,,170.19737442922374,7.566780821917808,0.14290410958901958,40.733056,-73.82,38.0,9.1,41.0,3.3,40.0,26.0
Miramae,04106,2061.0,Cumberland County,7.7364943850286565,Not applicable,162.80867579908673,5.131849315068493,0.18276712328763828,43.647,-70.2283,34.0,8.1,36.0,2.9,36.0,23.0
Mischief19,21228,3070.0,Baltimore County,7.802771847149402,,180.49235159817349,7.419178082191781,0.17175342465754556,39.256184000000005,-76.713126,34.0,8.1,36.0,2.9,36.0,23.0
Misfit,92881,1120.0,Riverside County,7.802773867689477,Not applicable,234.27899543379002,5.7227739726027504,0.15287671232878142,33.84125,-117.54905500000001,63.0,17.8,79.0,5.7,65.0,45.0
Misha28,01507,308.0,Worcester County,7.7794347696415045,Rising stage,169.91130136986303,4.956929223744291,0.21254794520548773,42.120573,-71.98548000000001,46.0,11.0,49.0,4.0,48.0,32.0
Misomonster,59702,,Missoula County,7.802780798031322,Rising stage,158.54634703196345,-0.29676940639269395,0.3911506849314614,46.86515,-113.979776,36.0,8.6,38.0,3.1,38.0,25.0
MissDaisy,24017,2609.0,,7.802794840786452,"Stable, low stage",181.76792237442916,6.569292237442923,0.17241095890413885,37.303540000000005,-80.0186,43.0,10.3,46.0,3.7,45.0,30.0
MisterCuddles,63105,6647.0,Saint Louis County,7.802820461817228,"Stable, normal stage",181.73047945205482,7.855136986301369,0.16241095890411614,38.644787,-90.311842,45.0,10.8,48.0,3.9,47.0,31.0
MitKao,63105,6647.0,Saint Louis County,7.8029546081333025,Falling stage,181.73047945205482,7.855136986301369,0.16241095890411614,38.646281,-90.31062800000001,45.0,10.8,48.0,3.9,47.0,31.0
Mithril,40205,3392.0,Jefferson County,7.802822090341443,,177.22648401826484,8.357762557077626,0.2014246575342324,38.233098,-85.683555,65.0,18.7,83.0,5.9,67.0,47.0
Mitti,18015,1546.0,Northampton County,7.802950718225291,Not applicable,170.40079908675796,6.190639269406392,0.17032876712327946,40.604655,-75.374691,40.0,9.6,43.0,3.5,42.0,28.0
MkaliMitinis3,,,Orleans Parish,7.8028595041431155,"Stable, normal stage",208.29086757990868,16.418607305936074,0.12252054794520165,29.99025,-90.097778,19.0,4.5,20.0,1.6,20.0,13.0
MoMoMixon,36853,46.0,Tallapoosa County,7.796097776177898,,198.54908675799086,11.695228310502285,0.13389041095888096,32.836698,-85.760829,82.0,26.8,117.0,7.6,83.0,60.0
Moab,63110,2732.0,,7.802889134716186,"Stable, high stage",181.73047945205482,7.855136986301369,0.16241095890411614,38.6357,-90.3004,45.0,10.8,48.0,3.9,47.0,31.0
Modragons,63122,2719.0,Saint Louis County,7.802902375438077,"Stable, normal stage",180.11392694063926,7.9343378995433795,0.14717808219176384,38.5683,-90.4186,34.0,8.1,36.0,2.9,36.0,23.0
Mojorita,76203,,Denton County,7.802820414201608,"Stable, normal stage",208.52066210045663,10.775228310502284,0.16802739726028745,33.207503,-97.147452,42.0,10.0,45.0,3.6,44.0,29.0
Moki,15213,14474.0,Allegheny County,7.802754408682863,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.442217,-79.943409,38.0,9.1,41.0,3.3,40.0,26.0
Moldemort,41086,43.0,Gallatin County,7.802759388267165,,175.17351598173516,7.969748858447487,0.17873972602741725,38.719415999999995,-84.900164,33.0,7.9,35.0,2.9,34.0,23.0
Molivia,19609,3941.0,Berks County,7.802771448227028,"Stable, normal stage",169.88824200913245,6.646118721461187,0.22106849315073407,40.3475,-76.00694399999999,95.0,33.0,143.0,8.9,95.0,71.0
Mollymur,33913,166.0,Lee County,7.801742012729473,,216.05445205479447,18.457077625570776,0.13446575342466408,26.460308,-81.708167,30.0,7.2,32.0,2.6,31.0,21.0
Moloch,15222,4055.0,Allegheny County,7.801702723348685,"Stable, normal stage",166.61826484018266,6.101712328767122,0.21501369863012293,40.444204,-80.00376899999999,38.0,9.1,41.0,3.3,40.0,26.0
Momo,15213,14474.0,Allegheny County,7.8016373339942335,"Stable, normal stage",166.06221461187215,6.1813470319634725,0.20728767123284966,40.445,-79.96300000000001,38.0,9.1,41.0,3.3,40.0,26.0
MonChoix,29707,559.0,Lancaster County,7.795848529051592,"Stable, normal stage",198.4398401826484,10.1324200913242,0.15032876712327778,35.01789,-80.866077,53.0,13.0,59.0,4.7,55.0,37.0
MoneyMay,10035,24329.0,New York County,7.7959678875519565,,172.05057077625568,7.278424657534248,0.15764383561642498,40.741895,-73.989308,35.0,8.4,37.0,3.0,37.0,24.0
Monty,15213,14474.0,Allegheny County,7.795904799670563,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.447024,-79.952196,38.0,9.1,41.0,3.3,40.0,26.0
MooMoo,,,Elliott County,7.7959029538987314,,180.12773972602741,7.9219178082191775,0.17531506849316267,38.076844,-83.183492,39.0,9.3,42.0,3.4,41.0,27.0
Moonbeam,59601,212.0,Lewis and Clark County,7.795838077947862,Not determined,167.71004566210047,-1.8843607305936072,0.380684931506863,46.5891,-112.0391,23.0,5.5,24.0,2.0,24.0,16.0
Moose,63105,6647.0,Saint Louis County,7.7957911415980705,"Stable, normal stage",181.73047945205482,7.855136986301369,0.16241095890411614,38.648014,-90.30899000000001,45.0,10.8,48.0,3.9,47.0,31.0
Moosehead,,,,,,164.40993150684932,4.051369863013698,0.3121369863013689,43.870263,-70.052534,38.0,9.1,41.0,3.3,40.0,26.0
Moozy,20832,2480.0,Montgomery County,7.796399518880969,,180.66061643835616,7.462442922374429,0.16904109589041375,39.149563,-77.068427,53.0,13.0,59.0,4.7,55.0,37.0
Mordred,01060,1400.0,Hampshire County,7.796379691298219,Not applicable,165.00262557077625,4.547716894977169,0.2734246575342758,42.3185,-72.641,42.0,10.0,45.0,3.6,44.0,29.0
Morgushi,62261,5.0,Randolph County,7.796178353996023,"Stable, normal stage",181.6802511415525,8.407420091324202,0.16791780821917196,38.000139000000004,-90.000139,31.0,7.4,33.0,2.7,32.0,21.0
Morizzled23,20009,36495.0,Washington,7.795304402690697,,183.91632420091324,7.457762557077626,0.1584657534246516,38.924851000000004,-77.020584,45.0,10.8,48.0,3.9,47.0,31.0
Morrissey,15213-3704,,Allegheny County,7.7952809823670615,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.439638,-79.946467,38.0,9.1,41.0,3.3,40.0,26.0
Mortcellus,45056,356.0,Butler County,7.795316282495411,,173.1092465753425,6.68458904109589,0.1946575342466027,39.511389,-84.738056,48.0,11.5,51.0,4.2,50.0,33.0
Morty,06517,2920.0,New Haven County,7.795856262483432,"Stable, normal stage",172.3719178082191,6.070662100456621,0.18397260273972266,41.36634,-72.91131999999999,42.0,10.0,45.0,3.6,44.0,29.0
Morty007,18512,1092.0,Lackawanna County,7.795825329839822,"Stable, normal stage",161.32819634703196,4.505022831050228,0.3091780821917959,41.43292,-75.631924,33.0,7.9,35.0,2.9,34.0,23.0
MosMoris,04658,56.0,Washington County,,,159.21175799086757,4.164497716894977,0.2743835616437935,44.555822,-67.86397099999999,36.0,8.6,38.0,3.1,38.0,25.0
Mosaic,63105,6647.0,Saint Louis County,7.795865876166487,Falling stage,181.73047945205482,7.855136986301369,0.16241095890411614,38.648888,-90.314166,34.0,8.1,36.0,2.9,36.0,23.0
Mosby,90095,8.0,Los Angeles County,7.795882961800778,Not applicable,231.3809360730594,7.317465753424657,0.10972602739727212,34.073,-118.45100000000001,42.0,10.0,45.0,3.6,44.0,29.0
Mowgli,63105,6647.0,Saint Louis County,7.795884638972039,Not applicable,181.73047945205482,7.855136986301369,0.16241095890411614,38.645718,-90.311351,45.0,10.8,48.0,3.9,47.0,31.0
Moyashi,,,Los Angeles County,7.831126444767905,Not applicable,226.7365296803653,8.049885844748859,0.13852054794521435,34.065,-118.4425,42.0,10.0,45.0,3.6,44.0,29.0
MrAK,,,Los Angeles County,7.831126444767905,Not applicable,226.7365296803653,8.049885844748859,0.13852054794521435,34.065,-118.4425,42.0,10.0,45.0,3.6,44.0,29.0
MrGloopy,01060,1400.0,Hampshire County,7.7957227425467,Not applicable,164.99885844748854,4.5856164383561655,0.2681643835616319,42.32,-72.636944,42.0,10.0,45.0,3.6,44.0,29.0
MrGordo,47907,,Tippecanoe County,,,176.72899543378998,6.1025114155251154,0.22641095890414384,40.422,-86.91605600000001,8.0,1.9,8.0,0.7,8.0,5.0
MrMagoo,15201,5127.0,Allegheny County,7.79575109075746,"Stable, normal stage",166.06221461187215,6.1813470319634725,0.20728767123284966,40.461923999999996,-79.962151,38.0,9.1,41.0,3.3,40.0,26.0
MrMiyagi,75602,475.0,Gregg County,7.7956540718155765,,199.6557077625571,11.948515981735161,0.13501369863011378,32.4634,-94.7265,31.0,7.4,33.0,2.7,32.0,21.0
MrWorldwide,,,,,,174.26518264840183,7.510844748858447,0.13728767123286073,39.945333000000005,-75.20705600000001,66.0,19.2,85.0,6.0,68.0,47.0
Msay19,15213,14474.0,Allegheny County,7.795530419476982,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.444444,-79.954722,38.0,9.1,41.0,3.3,40.0,26.0
MuchMore,40351,82.0,Rowan County,,,176.41164383561645,7.639041095890411,0.17030136986301242,38.189528,-83.43119399999999,47.0,11.2,50.0,4.1,49.0,32.0
Mudcat,42330,108.0,Muhlenberg County,,,181.07922374429225,8.864155251141552,0.16893150684933442,37.323724,-87.11239300000001,40.0,9.6,43.0,3.5,42.0,28.0
Mufasa,30045,1583.0,Gwinnett County,7.794995211583212,"Stable, normal stage",196.8426940639269,10.934212328767115,0.14079452054793398,33.923916999999996,-83.9452,56.0,14.4,65.0,5.0,58.0,39.0
Mufasa8,01063,11081.0,Hampshire County,7.786925928244476,Not applicable,165.00262557077625,4.547716894977169,0.2734246575342758,42.3251,-72.6412,42.0,10.0,45.0,3.6,44.0,29.0
Mulan,40356,290.0,Jessamine County,,,177.33378995433793,8.37648401826484,0.22339726027399395,37.8828,-84.5767,47.0,11.2,50.0,4.1,49.0,32.0
Mulch,15601,690.0,Westmoreland County,7.794931545325626,"Stable, normal stage",166.3529680365297,6.08299086757991,0.26558904109594,40.309015,-79.55753399999999,37.0,8.8,39.0,3.2,39.0,25.0
MulchMansion,,,,,,184.7816210045662,7.845205479452055,0.1672876712329057,38.625299,-90.301201,45.0,10.8,48.0,3.9,47.0,31.0
Mulciber,19104,17232.0,Philadelphia County,7.794851984179739,Not determined,174.19646118721462,7.453995433789954,0.14523287671230675,39.969916999999995,-75.19375,66.0,19.2,85.0,6.0,68.0,47.0
Munch,18015,1546.0,Northampton County,7.795177852540858,"Stable, normal stage",170.40079908675796,6.190639269406392,0.17032876712327946,40.604279999999996,-75.377553,40.0,9.6,43.0,3.5,42.0,28.0
Mundrea,30045,1583.0,Gwinnett County,7.794846492478099,Not applicable,193.74897260273968,10.432534246575342,0.13819178082191033,33.915719,-83.967361,56.0,14.4,65.0,5.0,58.0,39.0
Muntaha,,,,,,206.04771689497719,11.32785388127854,0.17879452054795394,32.99125,-96.54983299999999,40.0,9.6,43.0,3.5,42.0,28.0
Murdoc,63110,2732.0,,7.796425565991174,Not applicable,181.73047945205482,7.855136986301369,0.16241095890411614,38.634163,-90.286697,45.0,10.8,48.0,3.9,47.0,31.0
Murica,90095,8.0,Los Angeles County,7.7964392259515956,Not applicable,226.7365296803653,8.049885844748859,0.13852054794521435,34.07,-118.45100000000001,42.0,10.0,45.0,3.6,44.0,29.0
Murphy,43210,6102.0,Franklin County,7.796441269652822,Falling stage,171.3874429223744,6.369520547945205,0.2559452054794956,40.004213,-83.021904,14.0,3.3,15.0,1.2,14.0,9.0
Murucutumbu,00778,1533.0,Gurabo,7.796390437659162,Falling stage,,,,,,,,,,,
Musetta,15685,,Westmoreland County,7.796381105582049,"Stable, normal stage",164.97705479452054,5.569292237442921,0.2739726027397664,40.18351,-79.55702099999999,37.0,8.8,39.0,3.2,39.0,25.0
Mutaforma13,27695,,Wake County,7.795355199668964,"Stable, normal stage",192.6365296803653,10.211415525114155,0.14268493150683312,35.782161,-78.666205,46.0,11.0,49.0,4.0,48.0,32.0
Mutante,42101,197.0,Warren County,,,181.31529680365296,9.667157534246572,0.16150684931508502,36.986283,-86.456568,40.0,9.6,43.0,3.5,42.0,28.0
Muttlie,19382,1132.0,Chester County,7.795247578998757,,175.70376712328766,7.0029680365296825,0.19167123287673987,39.893703,-75.63147099999999,42.0,10.0,45.0,3.6,44.0,29.0
