Phage Name,Latitude,Longitude,Zipcode,Population Density,County,pH,Waterquality,GHI,Dew Point,Albedo,AQI,PM25,PM10,CO_8H,NO2_1H,SO3_1H
ShiVal,40.861698,-74.195824,07013,6213.0,Passaic County,,,171.08047945205482,6.804680365296804,0.1824931506849266,46.0,11.0,49.0,4.0,48.0,32.0
ShiaLabeouf,39.9595,-75.19025,19104,17232.0,Philadelphia County,,,174.19646118721462,7.453995433789954,0.14523287671230675,66.0,19.2,85.0,6.0,68.0,47.0
ShiaSurprise,42.786262,-86.101813,49423,580.0,Ottawa County,,,166.8412100456621,5.32468036529679,0.2966849315068809,27.0,6.4,29.0,2.3,28.0,18.0
Shiba,40.4473,-79.9538,15213,14474.0,Allegheny County,,,165.3197488584475,6.24406392694064,0.21063013698629074,38.0,9.1,41.0,3.3,40.0,26.0
Shida,32.4634,-94.7265,75602,475.0,Gregg County,7.7956540718155765,,199.6557077625571,11.948515981735161,0.13501369863011378,31.0,7.4,33.0,2.7,32.0,21.0
Shipwreck,40.01005,-77.50644399999999,17257,238.0,Franklin County,,,172.09257990867582,6.169977168949772,0.24780821917812704,44.0,10.5,47.0,3.8,46.0,30.0
Shnickers,41.205851,-73.207719,06606,8739.0,Fairfield County,,,172.43892694063928,6.625719178082192,0.1912876712328547,49.0,11.7,52.0,4.3,51.0,34.0
Shocker,,,,,,,,165.12408675799088,1.621689497716895,0.3140547945205778,21.0,5.0,22.0,1.8,22.0,14.0
Shoya,44.851966,-92.623259,54022,159.0,Pierce County,,,162.46746575342462,2.0579908675799095,0.3163013698630409,21.0,5.0,22.0,1.8,22.0,14.0
Shrimp,40.489261,-88.991338,61701,3198.0,McLean County,,,177.9,5.5188356164383565,0.2431506849315366,30.0,7.2,32.0,2.6,31.0,21.0
ShrimpFriedEgg,40.605002,-75.37830600000002,18015,1546.0,Northampton County,,,170.40079908675796,6.190639269406392,0.17032876712327946,40.0,9.6,43.0,3.5,42.0,28.0
Shrooms,31.818882,-97.276925,,,Hill County,,,208.2497716894977,11.690194063926928,0.16997260273974096,31.0,7.4,33.0,2.7,32.0,21.0
Shuman,41.085838,-73.931213,10960,3599.0,Rockland County,,,168.32260273972602,6.337157534246575,0.2069863013698425,11.0,2.6,11.0,0.9,11.0,7.0
SiSi,47.667056,-117.402794,99258,,Spokane County,,,160.9194063926941,1.7452054794520548,0.29493150684927943,9.0,2.1,9.0,0.7,9.0,6.0
Sibs6,41.6597,-93.7207,50131,802.0,Polk County,7.7917245064349165,Not applicable,174.27933789954338,4.731358447488581,0.2849041095890803,16.0,3.8,17.0,1.4,16.0,11.0
Sicarius2,38.306343,-104.580664,81001,874.0,Pueblo County,,,214.538698630137,-1.3931506849315072,0.21517808219181087,14.0,3.3,15.0,1.2,14.0,9.0
Sidious,44.907962,-68.688123,04473,427.0,Penobscot County,,,158.2573059360731,3.4796803652968036,0.3422191780821894,25.0,6.0,27.0,2.2,26.0,17.0
Sienna,40.439538,-79.952256,15213,14474.0,Allegheny County,,,165.3197488584475,6.24406392694064,0.21063013698629074,38.0,9.1,41.0,3.3,40.0,26.0
Sigman,40.442802,-79.962841,15213,14474.0,Allegheny County,,,166.06221461187215,6.1813470319634725,0.20728767123284966,38.0,9.1,41.0,3.3,40.0,26.0
SilentRX,,,,,,,,166.5310502283105,4.509703196347032,0.2518082191781169,32.0,7.6,34.0,2.8,33.0,22.0
Silvafighter,39.508956,-84.73155,45056,356.0,Butler County,,,175.21027397260278,6.9969178082191785,0.2013972602740031,48.0,11.5,51.0,4.2,50.0,33.0
Silverleaf,35.584167,-97.474167,73131,262.0,Oklahoma County,,,203.2880136986301,8.451826484018264,0.16301369863015014,63.0,17.8,79.0,5.7,65.0,45.0
Simpliphy,38.93909,-84.37411999999998,41001,321.0,Campbell County,,,176.72636986301367,7.669178082191781,0.20605479452056785,33.0,7.9,35.0,2.9,34.0,23.0
Sinatra,40.444253,-79.953239,15260,,Allegheny County,7.816276145592167,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,38.0,9.1,41.0,3.3,40.0,26.0
Sippinontea,,,,,,,,156.3132420091324,2.854566210045662,0.33304109589034003,23.0,5.5,24.0,2.0,24.0,16.0
SirHarley,38.716356,-89.85692,62294,467.0,Madison,,,180.99212328767123,7.337442922374429,0.2125753424657852,42.0,10.0,45.0,3.6,44.0,29.0
SirPhilip,47.667965,-117.0,83854,496.0,Kootenai County,,,156.20662100456622,1.3155936073059349,0.24920547945200064,13.0,3.1,14.0,1.1,13.0,9.0
Sitar,40.440979,-79.945574,15213,14474.0,Allegheny County,,,165.3197488584475,6.24406392694064,0.21063013698629074,38.0,9.1,41.0,3.3,40.0,26.0
Sixama,36.078306,-79.005,,,Orange County,,,187.58401826484013,10.027397260273975,0.1600547945205354,41.0,9.8,44.0,3.6,43.0,28.0
SketchMex,34.1431,-93.0827,71923,40.0,Clark County,,,191.38413242009133,11.794063926940641,0.1381917808219014,29.0,6.9,31.0,2.5,30.0,20.0
SkinnyPete,37.325703,-77.205717,,,Charles City County,,,184.93082191780826,9.343173515981727,0.13764383561643231,18.0,4.3,19.0,1.5,19.0,12.0
